practiceRepetition.thisRepN,practiceRepetition.thisTrialN,practiceRepetition.thisN,practiceRepetition.thisIndex,practiceBlock.thisRepN,practiceBlock.thisTrialN,practiceBlock.thisN,practiceBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,startpractice.started,startText.started,moveOn_3.started,startpractice.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,practiceTrial.started,myPract.trial,myPract.word,myPract.color,myPract.congruent,myPract.expectedResponse,stroopResp.started,practiceTrial.stopped,myPract.observedResponse,myPract.Accuracy,myPract.RT_allTrials,myPract.RT_correctTrials,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,practiceTrial_feedback.started,fbSound.started,fbSound.stopped,practiceTrial_feedback.stopped,practiceBlock_feedback.started,practiceBlock_feedback.stopped,End.started,endImage.started,endText.started,moveOn_5.started,End.stopped,moveOn_5.keys,moveOn_5.rt,moveOn_5.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,11,0,11,0,26.4105354000003,,,,,,,,,,,,,,,,,26.39587120000033,12,green,green,1.0,c,26.4105354000003,26.946608300000662,c,1.0,0.5332313999988401,0.5332313999988401,c,1,0.5332313999988401,None,26.949656999999206,0.0008577999997214647,0.044459000000642845,27.445480899999893,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,12,0,12,0,27.460477500000707,,,,,,,,,,,,,,,,,27.446237099999053,13,red,red,1.0,m,27.460477500000707,28.146652699999322,m,1.0,0.6822331000003032,0.6822331000003032,m,1,0.6822331000003032,None,28.14936040000066,0.0007358000002568588,0.04435080000075686,28.64548400000058,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,13,0,13,0,28.66046119999919,,,,,,,,,,,,,,,,,28.646267399999488,14,green,yellow,0.0,s,28.66046119999919,29.161940399999366,s,1.0,0.49952330000087386,0.49952330000087386,s,1,0.49952330000087386,None,29.16370780000034,0.0005244999993010424,0.04685629999949015,29.661344899999676,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,14,0,14,0,29.676956499999505,,,,,,,,,,,,,,,,,29.662294300000212,15,yellow,red,0.0,m,29.676956499999505,30.529837599999155,m,1.0,0.8433093999992707,0.8433093999992707,m,1,0.8433093999992707,None,30.532890500000576,0.0008835999997245381,0.04462959999909799,31.02832909999961,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,15,0,15,0,31.043418299999757,,,,,,,,,,,,,,,,,31.02917139999954,16,blue,blue,1.0,l,31.043418299999757,31.479602199999135,l,1.0,0.42450430000099004,0.42450430000099004,l,1,0.42450430000099004,None,31.48276110000006,0.0008800000014161924,0.044396299999789335,31.978409699999247,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,16,0,16,0,31.993351600000096,,,,,,,,,,,,,,,,,31.97917249999955,17,red,yellow,0.0,s,31.993351600000096,32.677966999999626,s,1.0,0.6736268999993626,0.6736268999993626,s,1,0.6736268999993626,None,32.679875300000276,0.0004978999986633426,0.04689010000038252,33.17770890000065,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,17,0,17,0,33.19338699999935,,,,,,,,,,,,,,,,,33.178049300000566,18,blue,blue,1.0,l,33.19338699999935,33.66124209999907,l,1.0,0.4661593000000721,0.4661593000000721,l,1,0.4661593000000721,None,33.663518999999724,0.0005175999995117309,0.0466457000002265,34.160769699999946,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,18,0,18,0,34.17674479999914,,,,,,,,,,,,,,,,,34.16137429999981,19,green,red,0.0,m,34.17674479999914,34.828259899999466,c,0.0,0.6360904000011942,,c,0,0.6360904000011942,None,34.829357399999935,0.0022700999998050975,0.04754460000003746,35.32742049999979,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
0,0,0,0,19,0,19,0,35.343276499999774,,,,,,,,,,,,,,,,,35.32774729999983,20,red,red,1.0,m,35.343276499999774,35.79514709999967,m,1.0,0.44909679999909713,0.44909679999909713,m,1,0.44909679999909713,None,35.796678200000315,0.002706400000533904,0.04670100000112143,36.29450320000069,,,,,,,,,,,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.294632600000114,37.711162600000534,37.711244899999656,37.73130409999976,37.73130409999976,37.73130409999976,39.67958179999914,space,1.9344074000000546,None,01,2025-08-21_13h44.57.861,practiceStroop,2023.2.1,60.05789581106065,2025-08-21 13h45.13.314304 +0100,
