experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,stroopStim.stopped,stroopResp.stopped,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.step,stroopResp.keys,stroopResp.corr,blank.started,fbCound.started,blankPeriod.started,fbCound.stopped,blank.stopped,myExp.RT_allTrials,myExp.RT_correctTrials,stroopResp.rt,stroopResp.duration,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,30.91769430000022,,,,,,,,,,,,,,,,,30.907282599999235,11,green,green,1.0,c,30.91769430000022,30.91769430000022,,,31.395165399999314,c,1.0980918999994174,1.0,0.0,c,1,31.39994039999874,0.0006252999992284458,0.0006252999992284458,0.6283158999995067,32.03329060000033,0.46067799999946146,0.46067799999946146,0.46067799999946146,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
11,0,11,0,32.045469599999706,,,,,,,,,,,,,,,,,32.0345226999998,12,blue,blue,1.0,l,32.045469599999706,32.045469599999706,,,32.578643400000146,l,1.0980918999994174,1.0,0.0,l,1,32.583299399999305,0.0005025999998906627,0.0005025999998906627,0.5602318000001105,33.14932520000002,0.5285532999987481,0.5285532999987481,0.5285532999987481,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
12,0,12,0,33.16524219999883,,,,,,,,,,,,,,,,,33.15111419999994,13,yellow,yellow,1.0,s,33.16524219999883,33.16524219999883,,,33.57919690000017,c,1.0980918999994174,0.0,0.0,c,0,33.58450649999941,0.0006423000013455749,0.0006423000013455749,0.6772326000009343,34.2672838999988,0.4109715000013239,,0.4109715000013239,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
13,0,13,0,34.278200699998706,,,,,,,,,,,,,,,,,34.26882019999903,14,red,red,1.0,m,34.278200699998706,34.278200699998706,,,34.795748399999866,m,1.0980918999994174,1.0,0.0,m,1,34.80081210000026,0.0006257999993977137,0.0006257999993977137,0.5770305999994889,35.383668399999806,0.5107248999993317,0.5107248999993317,0.5107248999993317,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
14,0,14,0,35.39815780000026,,,,,,,,,,,,,,,,,35.38554639999893,15,yellow,yellow,1.0,s,35.39815780000026,35.39815780000026,,,35.777440199999546,s,1.0980918999994174,1.0,0.0,s,1,35.77983839999979,0.0003192000003764406,0.0003192000003764406,0.7164169999996375,36.51028629999928,0.37170250000053784,0.37170250000053784,0.37170250000053784,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
15,0,15,0,36.52548779999961,,,,,,,,,,,,,,,,,36.51229070000045,16,blue,blue,1.0,l,36.52548779999961,36.52548779999961,,,36.945776399999886,l,1.0980918999994174,1.0,0.0,l,1,36.95170159999907,0.0006893999998283107,0.0006893999998283107,0.6708615999996255,37.62391620000017,0.41771329999937734,0.41771329999937734,0.41771329999937734,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
16,0,16,0,37.63672659999975,,,,,,,,,,,,,,,,,37.62599829999999,17,red,red,1.0,m,37.63672659999975,37.63672659999975,,,38.09386819999963,m,1.0980918999994174,1.0,0.0,m,1,38.09787250000045,0.0004982000009476906,0.0004982000009476906,0.6420429999998305,38.746047499998895,0.4466008999988844,0.4466008999988844,0.4466008999988844,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
17,0,17,0,38.759401100000105,,,,,,,,,,,,,,,,,38.747776399999566,18,blue,blue,1.0,l,38.759401100000105,38.759401100000105,,,39.17791319999924,l,1.0980918999994174,1.0,0.0,l,1,39.182289799999126,0.0007729000008112052,0.0007729000008112052,0.6796438000001217,39.867459099999905,0.4089715000009164,0.4089715000009164,0.4089715000009164,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
18,0,18,0,39.88371410000036,,,,,,,,,,,,,,,,,39.869252000000415,19,yellow,yellow,1.0,s,39.88371410000036,39.88371410000036,,,40.32813530000021,s,1.0980918999994174,1.0,0.0,s,1,40.33347059999869,0.0007898999992903555,0.0007898999992903555,0.6564966999994795,40.99581190000026,0.4326307999999699,0.4326307999999699,0.4326307999999699,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
19,0,19,0,41.009715599999254,,,,,,,,,,,,,,,,,40.99725109999963,20,blue,blue,1.0,l,41.009715599999254,41.009715599999254,,,41.59475190000012,l,1.0980918999994174,1.0,0.0,l,1,41.59961850000036,0.0005844999996043043,0.0005844999996043043,0.5148294999999052,42.119797800000015,0.5735864999987825,0.5735864999987825,0.5735864999987825,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
20,0,20,0,42.13273329999902,,,,,,,,,,,,,,,,,42.1213403999991,21,red,red,1.0,m,42.13273329999902,42.13273329999902,,,42.610811900000044,m,1.0980918999994174,1.0,0.0,m,1,42.6156004000004,0.0006661999996140366,0.0006661999996140366,0.6223907999992662,43.24381379999977,0.4657148000005691,0.4657148000005691,0.4657148000005691,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
21,0,21,0,43.25719140000001,,,,,,,,,,,,,,,,,43.24539259999983,22,yellow,yellow,1.0,s,43.25719140000001,43.25719140000001,,,43.6110007999996,c,1.0980918999994174,0.0,0.0,c,0,43.61557439999888,0.0006197999991854886,0.0006197999991854886,0.7449384999999893,44.36588379999921,0.3438650999996753,,0.3438650999996753,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
22,0,22,0,44.37940229999913,,,,,,,,,,,,,,,,,44.36752929999966,23,blue,blue,1.0,l,44.37940229999913,44.37940229999913,,,44.794911400000274,l,1.0980918999994174,1.0,0.0,l,1,44.799645499999315,0.0007473999994545011,0.0007473999994545011,0.6775418999986869,45.47851009999977,0.4125218000008317,0.4125218000008317,0.4125218000008317,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
23,0,23,0,45.488876999999775,,,,,,,,,,,,,,,,,45.47987739999917,24,green,green,1.0,c,45.488876999999775,45.488876999999775,,,45.99411499999951,c,1.0980918999994174,1.0,0.0,c,1,45.99795069999891,0.0004318999999668449,0.0004318999999668449,0.5953741000012087,46.598799399998825,0.49322810000012396,0.49322810000012396,0.49322810000012396,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
24,0,24,0,46.61149680000017,,,,,,,,,,,,,,,,,46.600125999999364,25,blue,blue,1.0,l,46.61149680000017,46.61149680000017,,,47.09395149999909,l,1.0980918999994174,1.0,0.0,l,1,47.09822390000045,0.0005608999999822117,0.0005608999999822117,0.6164774999997462,47.720395799999096,0.471171700000923,0.471171700000923,0.471171700000923,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
