experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,myExp.RT_correctTrials,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,29.54657009999937,,,,,,,,,,,,,,,,,29.531448800000362,10,green,green,1.0,c,29.54657009999937,29.54657009999937,30.036317599999165,c,1.0980918999994174,1.0,0.47870229999898584,0.0,c,1,0.47870229999898584,None,30.04234109999925,0.00105009999970207,0.00105009999970207,0.6108917000001384,30.65973049999957,0.47870229999898584,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
10,0,10,0,30.679250400000456,,,,,,,,,,,,,,,,,30.66170389999934,11,red,blue,0.0,l,30.679250400000456,30.679250400000456,31.053337499999543,l,1.0980918999994174,1.0,0.35700640000140993,0.0,l,1,0.35700640000140993,None,31.060696799999278,0.0009230000014213147,0.0009230000014213147,0.7308061000003363,31.79322030000003,0.35700640000140993,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
11,0,11,0,31.810713900000337,,,,,,,,,,,,,,,,,31.795121699999072,12,blue,yellow,0.0,s,31.810713900000337,31.810713900000337,32.186800100000255,s,1.0980918999994174,1.0,0.3688000000001921,0.0,s,1,0.3688000000001921,None,32.1926900999988,0.0008531999992555939,0.0008531999992555939,0.7196285999998508,32.914256599999135,0.3688000000001921,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
12,0,12,0,32.932608600000094,,,,,,,,,,,,,,,,,32.91648129999885,13,yellow,yellow,1.0,s,32.932608600000094,32.932608600000094,33.30283109999982,c,1.0980918999994174,0.0,0.3657705999994505,0.0,c,0,0.3657705999994505,None,33.30945739999879,0.0008168999993358739,0.0008168999993358739,0.7226559999999154,34.0339641999999,,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
13,0,13,0,34.05151300000034,,,,,,,,,,,,,,,,,34.03595049999967,14,blue,blue,1.0,l,34.05151300000034,34.05151300000034,34.55212120000033,l,1.0980918999994174,1.0,0.4946617999994487,0.0,l,1,0.4946617999994487,None,34.55738029999884,0.0008812000014586374,0.0008812000014586374,0.594237700001031,35.15863720000016,0.4946617999994487,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
14,0,14,0,35.17884839999897,,,,,,,,,,,,,,,,,35.16049659999953,15,yellow,green,0.0,c,35.17884839999897,35.17884839999897,35.88629839999885,c,1.0980918999994174,1.0,0.6998800000001211,0.0,c,1,0.6998800000001211,None,35.89326529999926,0.0007299999997485429,0.0007299999997485429,0.38760329999968235,36.28213340000002,0.6998800000001211,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
15,0,15,0,36.300998299999264,,,,,,,,,,,,,,,,,36.283976200000325,16,red,red,1.0,m,36.300998299999264,36.300998299999264,36.7354207999997,m,1.0980918999994174,1.0,0.4259179000000586,0.0,m,1,0.4259179000000586,None,36.740977499999644,0.0010743000002548797,0.0010743000002548797,0.6625340999999025,37.409793799999534,0.4259179000000586,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
16,0,16,0,37.42989209999905,,,,,,,,,,,,,,,,,37.41163469999992,17,yellow,yellow,1.0,s,37.42989209999905,37.42989209999905,37.85335269999996,s,1.0980918999994174,1.0,0.40682790000028035,0.0,s,1,0.40682790000028035,None,37.86121639999874,0.0010508000013942365,0.0010508000013942365,0.6807462000015221,38.54705379999905,0.40682790000028035,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
17,0,17,0,38.56169349999982,,,,,,,,,,,,,,,,,38.548307099999874,18,red,green,0.0,c,38.56169349999982,38.56169349999982,39.05231830000048,c,1.0980918999994174,1.0,0.47457960000065214,0.0,c,1,0.47457960000065214,None,39.0583244999998,0.0006929999999556458,0.0006929999999556458,0.6147220999991987,39.67457490000015,0.47457960000065214,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
18,0,18,0,39.69116969999959,,,,,,,,,,,,,,,,,39.6766291999993,19,green,red,0.0,m,39.69116969999959,39.69116969999959,40.23550280000018,m,1.0980918999994174,1.0,0.5343940000002476,0.0,m,1,0.5343940000002476,None,40.242087399999946,0.0009621999997762032,0.0009621999997762032,0.5539573000005475,40.797786999999516,0.5343940000002476,,,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
